Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Jeep,Compass,SUV,5 Seater,7 color,Diesel,Manual,₹31.21 L,Ahmedabad,Unavailable
Hyundai,Aura,Sedan,5 Seater,6 color,Petrol,Manual,₹8.42 L,Ahmedabad,Unavailable
Kia,Seltos,SUV,5 Seater,7 color,Diesel,Manual,₹16.53 L,Ahmedabad,Unavailable
Tata,Tigor,Sedan,5 Seater,5 color,Petrol,Manual,₹9.11 L,Ahmedabad,Unavailable
Hyundai,Venue,SUV,5 Seater,7 color,Petrol,Automatic,₹15.14 L,Ahmedabad,Unavailable
Citroen,E-C3,SUV,5 Seater,4 color,Electric,Automatic,₹13.67 L,Ahmedabad,Discontinued
Mercedes-Benz,GLB,SUV,7 Seater,5 color,Diesel,Automatic,₹80.77 L,Ahmedabad,Unavailable
Mahindra,Scorpio Classic,SUV,9 Seater,3 color,Diesel,Manual,₹16.12 L,Ahmedabad,Unavailable
Kia,Syros,SUV,5 Seater,8 color,Diesel,Manual,₹14.60 L,Ahmedabad,Unavailable
Toyota,Fortuner,SUV,7 Seater,7 color,Diesel,Manual,₹40.87 L,Ahmedabad,Unavailable
Maruti Suzuki,Fronx,SUV,5 Seater,7 color,Petrol,Automatic,₹10.74 L,Ahmedabad,Unavailable
Toyota,Fortuner Legender,SUV,7 Seater,1 color,Diesel,Automatic,₹49.59 L,Ahmedabad,Unavailable
Skoda,Kushaq,SUV,5 Seater,5 color,Petrol,Manual,₹14.66 L,Ahmedabad,Discontinued
Jeep,Meridian,SUV,7 Seater,6 color,Diesel,Automatic,₹39.33 L,Ahmedabad,Discontinued
Volkswagen,Taigun,SUV,5 Seater,5 color,Petrol,Automatic,₹22.10 L,Ahmedabad,Discontinued
Volkswagen,Virtus,Sedan,5 Seater,7 color,Electric,Manual,₹17.35 L,Ahmedabad,Discontinued
Kia,Sonet,SUV,5 Seater,7 color,Petrol,Manual,₹10.90 L,Ahmedabad,Unavailable
Mahindra,Bolero,SUV,7 Seater,2 color,Diesel,Manual,₹12.49 L,Ahmedabad,Unavailable
Maruti Suzuki,Jimny,SUV,4 Seater,6 color,Petrol,Automatic,₹16.87 L,Ahmedabad,Unavailable
Skoda,Slavia,Sedan,5 Seater,11 color,Petrol,Automatic,₹20.74 L,Ahmedabad,Unavailable
Toyota,Innova Crysta,SUV,8 Seater,5 color,Diesel,Manual,₹28.41 L,Ahmedabad,Unavailable
Citroen,C5 Aircross,SUV,5 Seater,7 color,Diesel,Automatic,₹41.98 L,Ahmedabad,Discontinued
Tata,Safari,SUV,7 Seater,1 color,Diesel,Manual,₹27.10 L,Ahmedabad,Unavailable
Toyota,Rumion,SUV,7 Seater,5 color,Petrol,Automatic,₹15.65 L,Ahmedabad,Unavailable
Tata,Nexon EV,SUV,5 Seater,4 color,Electric,Automatic,₹19.22 L,Ahmedabad,Discontinued
Hyundai,i20,Hatchback,5 Seater,8 color,Petrol,Manual,₹10.65 L,Ahmedabad,Unavailable
Mercedes-Benz,Maybach GLS,SUV,5 Seater,6 color,Petrol,Automatic,₹3.58 Cr,Ahmedabad,Unavailable
Mahindra,XUV 3XO,SUV,5 Seater,7 color,Petrol,Automatic,₹12.06 L,Ahmedabad,Unavailable
Hyundai,i20 N Line,Hatchback,5 Seater,7 color,Petrol,Automatic,₹12.74 L,Ahmedabad,Unavailable
Tata,Harrier,SUV,5 Seater,2 color,Diesel,Automatic,₹22.22 L,Ahmedabad,Unavailable
Mercedes-Benz,Maybach S-Class,Sedan,5 Seater,8 color,Petrol,Automatic,₹3.67 Cr,Ahmedabad,Unavailable
Mercedes-Benz,S-Class,Sedan,5 Seater,4 color,Petrol,Automatic,₹1.99 Cr,Ahmedabad,Unavailable
MG,Astor,SUV,5 Seater,4 color,Petrol,Automatic,₹16.09 L,Ahmedabad,Unavailable
Mahindra,XEV 9e,SUV,5 Seater,7 color,Electric,Automatic,₹32.61 L,Ahmedabad,Unavailable
Mahindra,XUV400,SUV,5 Seater,10 color,Electric,Automatic,₹19.03 L,Ahmedabad,Unavailable
Tata,Punch EV,SUV,5 Seater,5 color,Electric,Automatic,₹15.49 L,Ahmedabad,Unavailable
BMW,2 Series Gran Coupe,Coupe,5 Seater,1 color,Petrol,Automatic,₹49.61 L,Ahmedabad,Unavailable
MG,Comet EV,Hatchback,4 Seater,1 color,Electric,Automatic,₹10.76 L,Ahmedabad,Unavailable
Tata,Curvv EV,SUV,5 Seater,4 color,Electric,Automatic,₹21.60 L,Ahmedabad,Unavailable
Hyundai,Creta N Line,SUV,5 Seater,6 color,Petrol,Automatic,₹20.96 L,Ahmedabad,Unavailable
BMW,3 Series Gran Limousine,Coupe,5 Seater,4 color,Petrol,Automatic,₹65.17 L,Ahmedabad,Unavailable
Lamborghini,Huracan,Coupe,2 Seater,14 color,Petrol,Automatic,₹4.32 Cr,Ahmedabad,Unavailable
Mahindra,Bolero Neo Plus,SUV,9 Seater,3 color,Diesel,Manual,₹13.20 L,Ahmedabad,Unavailable
BMW,i7,Sedan,5 Seater,8 color,Electric,Automatic,₹2.82 Cr,Ahmedabad,Unavailable
BMW,iX,SUV,5 Seater,7 color,Electric,Automatic,₹1.37 Cr,Ahmedabad,Unavailable
BMW,iX1,SUV,5 Seater,4 color,Electric,Automatic,₹75.78 L,Ahmedabad,Unavailable
BMW,M2,Coupe,4 Seater,5 color,Petrol,Automatic,₹1.17 Cr,Ahmedabad,Unavailable
Tata,Curvv,SUV,5 Seater,5 color,Petrol,Manual,₹13.75 L,Ahmedabad,Unavailable
BMW,M340i,Sedan,5 Seater,4 color,Petrol,Automatic,₹84.85 L,Ahmedabad,Unavailable
BMW,M8,Coupe,4 Seater,9 color,Petrol,Automatic,₹2.61 Cr,Ahmedabad,Unavailable
BMW,X3 M40i,SUV,5 Seater,2 color,Petrol,Automatic,₹94.32 L,Ahmedabad,Unavailable
BMW,X4 M40i,SUV,5 Seater,2 color,Petrol,Automatic,₹1.03 Cr,Ahmedabad,Unavailable
BMW,X5,SUV,5 Seater,3 color,Petrol,Automatic,₹1.11 Cr,Ahmedabad,Unavailable
Citroen,C3,SUV,5 Seater,6 color,Petrol,Manual,₹9.63 L,Ahmedabad,Discontinued
Aston Martin,DBX,SUV,5 Seater,8 color,Petrol,Automatic,₹5.22 Cr,Ahmedabad,Unavailable
Hyundai,IONIQ 5,SUV,5 Seater,3 color,Electric,Automatic,₹52.07 L,Ahmedabad,Unavailable
Aston Martin,Vantage,Coupe,2 Seater,6 color,Petrol,Automatic,₹4.50 Cr,Ahmedabad,Unavailable
Nissan,Magnite,SUV,5 Seater,11 color,Petrol,Manual,₹10.86 L,Ahmedabad,Unavailable
Mahindra,Thar Roxx,SUV,5 Seater,7 color,Diesel,Automatic,₹24.46 L,Ahmedabad,Unavailable
