Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Mahindra,Thar,SUV,4,3,Diesel,Manual,1448000,Bangalore,Available
Tata,Safari,SUV,7,2,Diesel,Manual,2273000,Bangalore,Available
Mahindra,Bolero Neo,SUV,7,5,Diesel,Manual,1215000,Bangalore,Available
Nissan,Magnite,SUV,5,2,Petrol,Manual,749000,Bangalore,Available
Tata,Curvv EV,SUV,5,4,Electric,Automatic,2084000,Bangalore,Available
Tata,Nexon EV,SUV,5,4,Electric,Automatic,1526000,Bangalore,Available
Maruti Suzuki,Baleno,Hatchback,5,7,Petrol,Manual,832000,Bangalore,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,7,Petrol,Manual,1092000,Bangalore,Available
Honda,Amaze,Sedan,5,6,Petrol,Manual,1003999,Bangalore,Available
Skoda,Kylaq,SUV,5,7,Petrol,Manual,1195000,Bangalore,Available
Tata,Harrier EV,SUV,5,2,Electric,Automatic,2315000,Bangalore,Available
Tata,Tiago,Hatchback,5,2,Petrol,Manual,626000,Bangalore,Available
Kia,Carens Clavis,SUV,7,7,Petrol,Manual,1560000,Bangalore,Available
Tata,Altroz,Hatchback,5,5,Petrol,Manual,952000,Bangalore,Available
Tata,Tiago EV,Hatchback,5,1,Electric,Automatic,866000,Bangalore,Available
Kia,Syros,SUV,5,8,Petrol,Manual,1141000,Bangalore,Available
Tata,Tiago NRG,Hatchback,5,4,Petrol,Manual,909000,Bangalore,Available
Tata,Tigor,Sedan,5,2,Petrol,Automatic,914000,Bangalore,Available
Mahindra,XEV 9e,SUV,5,7,Electric,Automatic,2408000,Bangalore,Available
Hyundai,Creta Electric,SUV,5,5,Electric,Automatic,1939999,Bangalore,Available
Mahindra,BE 6,SUV,5,8,Electric,Automatic,2094000,Bangalore,Available
Tata,Nexon,SUV,5,4,Petrol,Manual,1065000,Chennai,Available
Tata,Punch,SUV,5,2,Petrol,Manual,749000,Chennai,Available
Hyundai,Grand i10 Nios,Hatchback,5,3,Petrol,Manual,723000,Chennai,Available
Hyundai,Aura,Sedan,5,1,Petrol,Manual,788000,Chennai,Available
Maruti Suzuki,Wagon R,Hatchback,5,3,Petrol,Manual,692000,Chennai,Available
Hyundai,Venue,SUV,5,4,Petrol,Manual,952000,Chennai,Available
MG,Astor,SUV,5,2,Petrol,Manual,1195000,Chennai,Available
Renault,Kiger,SUV,5,3,Petrol,Manual,739000,Chennai,Available
MG,Gloster,SUV,7,4,Diesel,Automatic,5141000,Chennai,Available
Maruti Suzuki,Grand Vitara,SUV,5,1,Petrol,Manual,1402000,Chennai,Available
Tata,Nexon EV,SUV,5,4,Electric,Automatic,1501000,Chennai,Available
Hyundai,Venue N-Line,SUV,5,5,Petrol,Automatic,1607999,Chennai,Available
Maruti Suzuki,Alto K10,Hatchback,5,6,Petrol,Manual,591000,Chennai,Available
Maruti Suzuki,Celerio,Hatchback,5,6,Petrol,Manual,669000,Chennai,Available
Maruti Suzuki,Brezza,SUV,5,5,Petrol,Manual,1010000,Chennai,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,6,CNG,Manual,1361000,Chennai,Available
Renault,Kwid,Hatchback,5,5,Petrol,Manual,668000,Chennai,Available
Hyundai,i20 N Line,Hatchback,5,7,Petrol,Manual,1187000,Chennai,Available
